<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,1,20210104,100100,516.3000000,518.2000000,515.9000000,517.7000000,39748
TATN,1,20210104,100200,517.7000000,518.5000000,517.5000000,518.1000000,23319
TATN,1,20210104,100300,518.1000000,518.4000000,517.2000000,517.9000000,23227
TATN,1,20210104,100400,517.9000000,519.0000000,517.8000000,518.6000000,19125
TATN,1,20210104,100500,518.7000000,520.0000000,518.4000000,519.5000000,28795
TATN,1,20210104,100600,519.6000000,519.8000000,518.5000000,519.0000000,32679
TATN,1,20210104,100700,519.0000000,519.6000000,518.9000000,519.5000000,6504
TATN,1,20210104,100800,519.3000000,519.5000000,519.0000000,519.2000000,14207
TATN,1,20210104,100900,519.2000000,519.8000000,519.2000000,519.5000000,9069
TATN,1,20210104,101000,519.3000000,519.6000000,519.2000000,519.5000000,3080
TATN,1,20210104,101100,519.7000000,520.2000000,519.5000000,519.5000000,26389
TATN,1,20210104,101200,519.9000000,519.9000000,519.5000000,519.7000000,2706
TATN,1,20210104,101300,519.7000000,520.0000000,519.6000000,519.9000000,8254
TATN,1,20210104,101400,519.9000000,520.0000000,519.3000000,519.5000000,7166
TATN,1,20210104,101500,519.5000000,519.9000000,519.3000000,519.9000000,1563
TATN,1,20210104,101600,519.7000000,519.7000000,519.3000000,519.4000000,4406
TATN,1,20210104,101700,519.5000000,519.6000000,519.0000000,519.3000000,13529
TATN,1,20210104,101800,519.0000000,519.2000000,518.6000000,518.9000000,16916
TATN,1,20210104,101900,519.0000000,519.0000000,518.4000000,518.4000000,10605
TATN,1,20210104,102000,518.5000000,518.7000000,518.3000000,518.7000000,3477
TATN,1,20210104,102100,518.5000000,519.4000000,518.5000000,519.0000000,14273
TATN,1,20210104,102200,519.0000000,519.7000000,519.0000000,519.4000000,3759
TATN,1,20210104,102300,519.7000000,519.9000000,519.4000000,519.8000000,8026
TATN,1,20210104,102400,519.9000000,519.9000000,519.6000000,519.7000000,3125
TATN,1,20210104,102500,519.7000000,519.9000000,519.4000000,519.5000000,3471
TATN,1,20210104,102600,519.5000000,519.5000000,519.0000000,519.2000000,1228
TATN,1,20210104,102700,519.2000000,519.3000000,519.0000000,519.2000000,1116
TATN,1,20210104,102800,519.2000000,519.2000000,518.9000000,519.0000000,6947
TATN,1,20210104,102900,519.1000000,519.1000000,518.8000000,519.0000000,1444
TATN,1,20210104,103000,519.0000000,519.0000000,518.5000000,518.8000000,6606
TATN,1,20210104,103100,518.5000000,518.8000000,518.5000000,518.7000000,5168
TATN,1,20210104,103200,518.6000000,518.7000000,517.9000000,518.1000000,22131
TATN,1,20210104,103300,518.3000000,519.1000000,518.3000000,519.1000000,8416
TATN,1,20210104,103400,518.9000000,519.1000000,518.8000000,518.8000000,2824
TATN,1,20210104,103500,518.7000000,519.2000000,518.7000000,519.2000000,5634
TATN,1,20210104,103600,519.2000000,519.5000000,519.1000000,519.4000000,2943
TATN,1,20210104,103700,519.4000000,519.4000000,519.2000000,519.2000000,4321
TATN,1,20210104,103800,519.4000000,519.4000000,518.8000000,518.8000000,4450
